,mae,rmse,f1,precision,recall
lstm,24.43125456162734,29.076666525090435,0.8579360987815081,0.8097490167944061,0.9061231807686101
gru,25.41031898363111,30.680827184569957,0.8430256347947248,0.7993751961306239,0.8866760734588255
tcn,21.97687855270356,26.620168047027953,0.872150480736026,0.8320856883175682,0.9070438390975237
liquid,17.95549762412391,21.561525858178896,0.903449091642857,0.8574433820687629,0.9384279148516625
advanced_liquid,16.910507768155163,20.06963721698111,0.9227029686408746,0.8654553753170159,0.9655493120310489
resnet,23.389041896738327,27.57794504607366,0.8606586339870566,0.8122538680638612,0.9053032142630986
transformer,20.446496367079057,23.857693939373316,0.893023981626564,0.8403544049833058,0.9410350210310019
