,mae,rmse,f1,precision,recall
lstm,25.733864319367342,30.76636646972245,0.8783157883480266,0.8241154156935819,0.9306563028761097
gru,26.647005551447144,31.613671815697057,0.868997855997366,0.82758164872007,0.910414063274662
tcn,23.038132738253957,28.051432593133665,0.8919344015435289,0.8407163935324956,0.9385583579509917
liquid,19.257171552198876,23.08816739750608,0.9190256907554598,0.8707193349303266,0.9587026366051079
advanced_liquid,17.50971702881685,21.21834434748745,0.9328583312950682,0.8953371314869178,0.9632462349516062
resnet,24.72651952853521,29.113970574539145,0.8882963705080522,0.8407670691850289,0.9348879026375023
transformer,21.272665549124984,25.700349038674943,0.9006277430684234,0.8547514027392678,0.9436518132852786
